accounting_account	accounting_account_num_key	{num}
accounting_incomingbalance	accounting_incomingbalance_year_id_account_id_df9034a0_uniq	{year_id,account_id}
accounting_journalentry	accounting_journalentry_year_id_seq_c1e54073_uniq	{year_id,seq}
adyen_notification	adyen_notification_pspReference_eventCode_m_40f16839_uniq	{pspReference,eventCode,merchantAccountCode}
adyen_notification	adyen_notification_receivedat_key	{receivedat}
adyen_rawnotification	adyen_rawnotification_dat_key	{dat}
adyen_transactionstatus	adyen_transactionstatus_pspReference_key	{pspReference}
auth_group	auth_group_name_key	{name}
auth_group_permissions	auth_group_permissions_group_id_permission_id_0cd325b0_uniq	{group_id,permission_id}
auth_permission	auth_permission_content_type_id_codename_01ab375a_uniq	{content_type_id,codename}
auth_user	auth_user_username_key	{username}
auth_user_groups	auth_user_groups_user_id_group_id_94350c0c_uniq	{user_id,group_id}
auth_user_user_permissions	auth_user_user_permissions_user_id_permission_id_14a6b632_uniq	{user_id,permission_id}
braintreepayment_braintreetransaction	braintreepayment_braintreetransaction_transid_key	{transid}
confreg_accesstoken	confreg_accesstoken_conference_id_token_efd937fd_uniq	{conference_id,token}
confreg_aggregateddietary	confreg_aggregateddietary_conference_id_dietary_c0a269fb_uniq	{conference_id,dietary}
confreg_aggregatedtshirtsizes	confreg_aggregatedtshirt_conference_id_size_id_ce2c0713_uniq	{conference_id,size_id}
confreg_attendeemail_addopts	confreg_attendeemail_add_attendeemail_id_conferen_1acadad8_uniq	{attendeemail_id,conferenceadditionaloption_id}
confreg_attendeemail_pending_regs	confreg_attendeemail_pen_attendeemail_id_user_id_1bdef856_uniq	{attendeemail_id,user_id}
confreg_attendeemail_regclasses	confreg_attendeemail_reg_attendeemail_id_registra_38beb7cd_uniq	{attendeemail_id,registrationclass_id}
confreg_attendeemail_registrations	confreg_attendeemail_reg_attendeemail_id_conferen_e62b088a_uniq	{attendeemail_id,conferenceregistration_id}
confreg_conference	confreg_conference_urlname_key	{urlname}
confreg_conference_administrators	confreg_conference_admin_conference_id_user_id_055b1f2c_uniq	{conference_id,user_id}
confreg_conference_checkinprocessors	confreg_conference_check_conference_id_conference_a0889e52_uniq	{conference_id,conferenceregistration_id}
confreg_conference_initial_common_countries	confreg_conference_initi_conference_id_country_id_350fdcf0_uniq	{conference_id,country_id}
confreg_conference_paymentmethods	confreg_conference_payme_conference_id_invoicepay_83475702_uniq	{conference_id,invoicepaymentmethod_id}
confreg_conference_staff	confreg_conference_staff_conference_id_user_id_2a80eb85_uniq	{conference_id,user_id}
confreg_conference_talkvoters	confreg_conference_talkv_conference_id_user_id_52150414_uniq	{conference_id,user_id}
confreg_conference_testers	confreg_conference_testers_conference_id_user_id_cd8ad918_uniq	{conference_id,user_id}
confreg_conference_volunteers	confreg_conference_volun_conference_id_conference_6419d0a1_uniq	{conference_id,conferenceregistration_id}
confreg_conferenceadditionaloption_additionaldays	confreg_conferenceadditi_conferenceadditionalopti_cc88b8bf_uniq	{conferenceadditionaloption_id,registrationday_id}
confreg_conferenceadditionaloption_mutually_exclusive	confreg_conferenceadditi_from_conferenceadditiona_e60d4ff0_uniq	{from_conferenceadditionaloption_id,to_conferenceadditionaloption_id}
confreg_conferenceadditionaloption_requires_regtype	confreg_conferenceadditi_conferenceadditionalopti_a3b810f9_uniq	{conferenceadditionaloption_id,registrationtype_id}
confreg_conferencehashtag	confreg_conferencehashtag_conference_id_hashtag_fcd114f7_uniq	{conference_id,hashtag}
confreg_conferenceincomingtweet	confreg_conferenceincomi_statusid_provider_id_f1eb790b_uniq	{statusid,provider_id}
confreg_conferenceincomingtweetmedia	confreg_conferenceincomi_incomingtweet_id_sequenc_95f868b9_uniq	{incomingtweet_id,sequence}
confreg_conferencemessaging	confreg_conferencemessag_conference_id_provider_i_6bd4e5c1_uniq	{conference_id,provider_id}
confreg_conferenceregistration	confreg_conferenceregistration_idtoken_key	{idtoken}
confreg_conferenceregistration	confreg_conferenceregistration_publictoken_key	{publictoken}
confreg_conferenceregistration	confreg_conferenceregistration_regtoken_key	{regtoken}
confreg_conferenceregistration_additionaloptions	confreg_conferenceregist_conferenceregistration_i_5b5d1877_uniq	{conferenceregistration_id,conferenceadditionaloption_id}
confreg_conferenceregistrationtemporarytoken	confreg_conferenceregistrationtemporarytoken_reg_id_key	{reg_id}
confreg_conferenceregistrationtemporarytoken	confreg_conferenceregistrationtemporarytoken_token_key	{token}
confreg_conferenceseries_administrators	confreg_conferenceseries_conferenceseries_id_user_b9e2e10a_uniq	{conferenceseries_id,user_id}
confreg_conferenceseriesoptout	confreg_conferenceseriesoptout_user_id_series_id_66c14e77_uniq	{user_id,series_id}
confreg_conferencesession_speaker	confreg_conferencesessio_conferencesession_id_spe_fe372af6_uniq	{conferencesession_id,speaker_id}
confreg_conferencesession_tags	confreg_conferencesessio_conferencesession_id_con_f3b02182_uniq	{conferencesession_id,conferencesessiontag_id}
confreg_conferencesessiontag	confreg_conferencesessiontag_conference_id_slug_6e11a5a5_uniq	{conference_id,slug}
confreg_conferencesessiontag	confreg_conferencesessiontag_conference_id_tag_829d6374_uniq	{conference_id,tag}
confreg_conferencesessionvote	confreg_conferencesessionvote_session_id_voter_id_52c6e0e2_uniq	{session_id,voter_id}
confreg_conferencetweetqueue_remainingtosend	confreg_conferencetweetq_conferencetweetqueue_id__f9ed638f_uniq	{conferencetweetqueue_id,messagingprovider_id}
confreg_crossconferenceemailrecipient	confreg_crossconferencee_email_id_address_27b79894_uniq	{email_id,address}
confreg_discountcode	confreg_discountcode_conference_id_code_ff0a1b16_uniq	{conference_id,code}
confreg_discountcode_registrations	confreg_discountcode_reg_discountcode_id_conferen_39cde147_uniq	{discountcode_id,conferenceregistration_id}
confreg_discountcode_requiresoption	confreg_discountcode_req_discountcode_id_conferen_014e4246_uniq	{discountcode_id,conferenceadditionaloption_id}
confreg_discountcode_requiresregtype	confreg_discountcode_req_discountcode_id_registra_b1881ac4_uniq	{discountcode_id,registrationtype_id}
confreg_incomingdirectmessage	confreg_incomingdirectmessage_postid_provider_id_6323b446_uniq	{postid,provider_id}
confreg_pendingadditionalorder_options	confreg_pendingadditiona_pendingadditionalorder_i_9c82c713_uniq	{pendingadditionalorder_id,conferenceadditionaloption_id}
confreg_prepaidvoucher	confreg_prepaidvoucher_vouchervalue_key	{vouchervalue}
confreg_registrationday	confreg_registrationday_conference_id_day_a2684918_uniq	{conference_id,day}
confreg_registrationtype_days	confreg_registrationtype_registrationtype_id_regi_9902fe71_uniq	{registrationtype_id,registrationday_id}
confreg_registrationtype_requires_option	confreg_registrationtype_registrationtype_id_conf_dc826d25_uniq	{registrationtype_id,conferenceadditionaloption_id}
confreg_room_availabledays	confreg_room_availableda_room_id_registrationday__b5a4db4d_uniq	{room_id,registrationday_id}
confreg_savedreportdefinition	confreg_savedreportdefinition_conference_id_title_8a9bfe5c_uniq	{conference_id,title}
confreg_speaker	confreg_speaker_speakertoken_key	{speakertoken}
confreg_speaker	confreg_speaker_user_id_key	{user_id}
confsponsor_purchasedvoucher	confsponsor_purchasedvoucher_batch_id_a6e24804_uniq	{batch_id}
confsponsor_scannedattendee	confsponsor_scannedatten_sponsor_id_scannedby_id__fee21c9b_uniq	{sponsor_id,scannedby_id,attendee_id}
confsponsor_shipment	confsponsor_shipment_conference_id_addresstoken_f8a1dd0e_uniq	{conference_id,addresstoken}
confsponsor_shipmentaddress	confsponsor_shipmentaddress_token_key	{token}
confsponsor_shipmentaddress_available_to	confsponsor_shipmentaddr_shipmentaddress_id_spons_f47db961_uniq	{shipmentaddress_id,sponsorshiplevel_id}
confsponsor_sponsor	confsponsor_sponsor_contract_id_key	{contract_id}
confsponsor_sponsor_managers	confsponsor_sponsor_managers_sponsor_id_user_id_be64ffab_uniq	{sponsor_id,user_id}
confsponsor_sponsorclaimedbenefit	confsponsor_sponsorclaim_sponsor_id_benefit_id_170e0866_uniq	{sponsor_id,benefit_id}
confsponsor_sponsormail_levels	confsponsor_sponsormail__sponsormail_id_sponsorsh_f3c08096_uniq	{sponsormail_id,sponsorshiplevel_id}
confsponsor_sponsormail_sponsors	confsponsor_sponsormail__sponsormail_id_sponsor_i_250821b8_uniq	{sponsormail_id,sponsor_id}
confsponsor_sponsorscanner	confsponsor_sponsorscanner_sponsor_id_scanner_id_af17f23a_uniq	{sponsor_id,scanner_id}
confsponsor_sponsorscanner	confsponsor_sponsorscanner_token_key	{token}
confsponsor_sponsorshiplevel	confsponsor_sponsorshipl_conference_id_urlname_0db9b073_uniq	{conference_id,urlname}
confsponsor_sponsorshiplevel_paymentmethods	confsponsor_sponsorshipl_sponsorshiplevel_id_invo_94031c60_uniq	{sponsorshiplevel_id,invoicepaymentmethod_id}
confwiki_attendeesignup	confwiki_attendeesignup_signup_id_attendee_id_c1a86c33_uniq	{signup_id,attendee_id}
confwiki_signup_attendees	confwiki_signup_attendee_signup_id_conferenceregi_07de5093_uniq	{signup_id,conferenceregistration_id}
confwiki_signup_regtypes	confwiki_signup_regtypes_signup_id_registrationty_86e5a1d6_uniq	{signup_id,registrationtype_id}
confwiki_wikipage	confwiki_wikipage_conference_id_url_26de63e8_uniq	{conference_id,url}
confwiki_wikipage_editor_attendee	confwiki_wikipage_editor_wikipage_id_conferencere_9151796c_uniq	{wikipage_id,conferenceregistration_id}
confwiki_wikipage_editor_regtype	confwiki_wikipage_editor_wikipage_id_registration_bb180c88_uniq	{wikipage_id,registrationtype_id}
confwiki_wikipage_viewer_attendee	confwiki_wikipage_viewer_wikipage_id_conferencere_e306d76a_uniq	{wikipage_id,conferenceregistration_id}
confwiki_wikipage_viewer_regtype	confwiki_wikipage_viewer_wikipage_id_registration_661ffaed_uniq	{wikipage_id,registrationtype_id}
confwiki_wikipagehistory	confwiki_wikipagehistory_page_id_publishedat_3063426d_uniq	{page_id,publishedat}
digisign_digisigndocument	digisign_digisigndocument_documentid_provider_id_77e5c69d_uniq	{documentid,provider_id}
digisign_digisignprovider	digisign_digisignprovider_name_key	{name}
django_content_type	django_content_type_app_label_model_76bd3d3b_uniq	{app_label,model}
invoices_bankfileupload	invoices_bankfileupload_method_id_created_36e86cd4_uniq	{method_id,created}
invoices_bankstatementrow	invoices_bankstatementrow_uniqueid_method_id_d930d5b7_uniq	{uniqueid,method_id}
invoices_invoice_allowedmethods	invoices_invoice_allowed_invoice_id_invoicepaymen_a2e824d5_uniq	{invoice_id,invoicepaymentmethod_id}
invoices_invoiceprocessor	invoices_invoiceprocessor_processorname_key	{processorname}
membership_meeting_meetingadmins	membership_meeting_meeti_meeting_id_member_id_66850061_uniq	{meeting_id,member_id}
membership_meeting_members	membership_meeting_members_meeting_id_member_id_fea0cc81_uniq	{meeting_id,member_id}
membership_membermail_sentto	membership_membermail_se_membermail_id_member_id_e2bf05e2_uniq	{membermail_id,member_id}
membership_membermeetingkey	membership_membermeetingkey_member_id_meeting_id_75b658c1_uniq	{member_id,meeting_id}
membership_membershipconfiguration_paymentmethods	membership_membershipcon_membershipconfiguration__9bddd776_uniq	{membershipconfiguration_id,invoicepaymentmethod_id}
newsevents_newsposterprofile	newsevents_newsposterprofile_urlname_key	{urlname}
paypal_transactioninfo	paypal_transactioninfo_paypaltransid_key	{paypaltransid}
plaid_plaidtransaction	plaid_plaidtransaction_transactionid_paymentmet_db3ab4ff_uniq	{transactionid,paymentmethod_id}
scheduler_scheduledjob	scheduler_scheduledjob_app_command_95a1eb00_uniq	{app,command}
scheduler_scheduledjob	scheduler_scheduledjob_command_7eba6992_uniq	{command}
stripepayment_stripecheckout	stripepayment_stripecheckout_invoiceid_key	{invoiceid}
stripepayment_stripecheckout	stripepayment_stripecheckout_paymentintent_key	{paymentintent}
stripepayment_stripecheckout	stripepayment_stripecheckout_sessionid_key	{sessionid}
stripepayment_stripepayout	stripepayment_stripepayout_payoutid_key	{payoutid}
stripepayment_striperefund	stripepayment_striperefund_invoicerefundid_id_key	{invoicerefundid_id}
stripepayment_striperefund	stripepayment_striperefund_refundid_key	{refundid}
transferwise_transferwisemonthlystatement	transferwise_transferwis_month_paymentmethod_id_723e4cc5_uniq	{month,paymentmethod_id}
transferwise_transferwisepayout	transferwise_transferwisepayout_reference_e6adc1b4_uniq	{reference}
transferwise_transferwisepayout	transferwise_transferwisepayout_uuid_key	{uuid}
transferwise_transferwiserefund	transferwise_transferwiserefund_refundid_key	{refundid}
transferwise_transferwiserefund	transferwise_transferwiserefund_refundtransaction_id_key	{refundtransaction_id}
transferwise_transferwiserefund	transferwise_transferwiserefund_transferid_key	{transferid}
transferwise_transferwiserefund	transferwise_transferwiserefund_uuid_key	{uuid}
transferwise_transferwisetransaction	transferwise_transferwis_twreference_paymentmetho_3d951213_uniq	{twreference,paymentmethod_id}
trustlypayment_trustlynotification	trustlypayment_trustlynotification_receivedat_key	{receivedat}
trustlypayment_trustlyrawnotification	trustlypayment_trustlyrawnotification_dat_key	{dat}
util_oauthapplication	util_oauthapplication_baseurl_key	{baseurl}
util_storage	util_storage_key_storageid_cc2b7df4_uniq	{key,storageid}
